sample,origin,clone,subclone,subclone2,trans_site,rope,loc_grtn,age,age2,grtn,loc,bw_in,bw_fin,bw_chg,len_in,len_fin,len_chg,avg_len_chg,len_ct
216,M1,Pink,I_B29,V15,M1,Y37,home_late,3y,3,late,home,1.81,3.1,1.29,3.89,6.17,2.28,,0.59
215,M1,Pink,I_B29,V15,M1,Y35,home_late,3y,3,late,home,1.29,2.43,1.14,3.7,4.97,1.27,,0.34
214,M1,Pink,I_B29,V15,M1,Y34,home_late,3y,3,late,home,0.96,1.67,0.71,2.89,3.64,0.75,1.433333333,0.26
213,M1,Green,I_B25,V21,M1,Y35,home_early,5y,5,early,home,2.62,4.96,2.34,5.33,6.17,0.84,,0.16
212,M1,Green,I_B25,V21,M1,Y34,home_early,5y,5,early,home,1.68,2.66,0.98,3.59,4.01,0.42,,0.12
211,M1,Green,I_B25,V21,M1,Y33,home_early,5y,5,early,home,2.29,7.24,4.95,3.26,7.51,4.25,1.836666667,1.3
210,M1,Green,I_B41,V25,M1,Y33,home_late,3y,3,late,home,1.28,2.52,1.24,3.63,5.76,2.13,,0.59
209,M1,Green,I_B41,V25,M1,Y37,home_late,3y,3,late,home,3.1,7.95,4.85,5.61,7.47,1.86,,0.33
208,M1,Green,I_B41,V25,M1,Y33,home_late,3y,3,late,home,2.18,6.11,3.93,4.49,7.42,2.93,2.306666667,0.65
207,M1,Red,I_B78,V23,M1,Y35,home_late,3y,3,late,home,2.36,4.3,1.94,5.67,7.92,2.25,2.25,0.4
206,M1,Brown,I_B63,V1,M1,Y36,home_late,3y,3,late,home,1.17,2.55,1.38,5.87,7.91,2.04,2.04,0.35
205,M1,Blue,I_94,V3,M1,Y32,home_early,5y,5,early,home,2.97,3.7,0.73,4.81,5.33,0.52,0.52,0.11
204,M1,Green,I_B32,V29,M1,Y37,home_late,3y,3,late,home,0.94,3.91,2.97,3.52,5.39,1.87,1.87,0.53
B9,M2,Orange,CN_132,V24,R,Y704,away_early,6y,6,early,away,NA,NA,NA,4.84,1.36,-3.48,,-0.72
B8,M2,Orange,CN_132,V24,R,Y706,away_early,6y,6,early,away,NA,NA,NA,3.79,0.97,-2.82,,-0.74
B22,M2,Orange,CN_132,V24,R,Y701,away_early,6y,6,early,away,NA,NA,NA,4.31,4.64,0.33,-1.99,0.08
B98,M2,Orange,CN_R031,V22,R,Y702,away_early,5y,5,early,away,NA,NA,NA,3.37,3.23,-0.14,,-0.04
B10,M2,Orange,CN_R031,V22,R,Y705,away_early,5y,5,early,away,NA,NA,NA,3.57,4.37,0.8,,0.22
B7,M2,Orange,CN_R031,V22,R,Y703,away_early,5y,5,early,away,NA,NA,NA,2.96,NA,NA,0.33,
B36,M2,Orange,CN_168,V18,R,Y702,away_early,7y,7,early,away,NA,NA,NA,3.64,4.38,0.74,,0.2
B93,M2,Orange,CN_168,V18,R,Y705,away_early,7y,7,early,away,NA,NA,NA,4.22,5.5,1.28,,0.3
B44,M2,Orange,CN_168,V18,R,Y706,away_early,7y,7,early,away,NA,NA,NA,4.17,6.17,2,1.34,0.48
B76,M2,Purple,CN_B43,V16,R,Y704,away_late,3y,3,late,away,NA,NA,NA,5.09,NA,NA,,
B3,M2,Purple,CN_B43,V16,R,Y707,away_late,3y,3,late,away,NA,NA,NA,5.36,NA,NA,,
B99,M2,Purple,CN_B43,V16,R,Y704,away_late,3y,3,late,away,NA,NA,NA,4.07,NA,NA,,
B31,M2,Orange,CN_B77,V19,R,Y702,away_early,5y,5,early,away,NA,NA,NA,3.7,1.54,-2.16,,-0.58
B21,M2,Orange,CN_B77,V19,R,Y707,away_early,5y,5,early,away,NA,NA,NA,3.83,2.63,-1.2,,-0.31
B97,M2,Orange,CN_B77,V19,R,Y703,away_early,5y,5,early,away,NA,NA,NA,3.71,1.36,-2.35,-1.903333333,-0.63
B64,M2,Purple,CN_169,V30,R,Y703,away_early,7y,7,early,away,NA,NA,NA,6.74,6.74,0,,0
B72,M2,Purple,CN_169,V30,R,Y701,away_early,7y,7,early,away,NA,NA,NA,4.24,4.37,0.13,,0.03
B19,M2,Purple,CN_169,V30,R,Y703,away_early,7y,7,early,away,NA,NA,NA,5.67,5.74,0.07,0.066666667,0.01
B4,M2,Pink,CN_R045,V12,R,Y704,away_early,5y,5,early,away,NA,NA,NA,NA,NA,NA,,
B54,M2,Pink,CN_R045,V12,R,Y706,away_early,5y,5,early,away,NA,NA,NA,NA,NA,NA,,
B17,M2,Pink,CN_R045,V12,R,Y701,away_early,5y,5,early,away,NA,NA,NA,3.51,NA,NA,,
B85,M2,Pink,CN_R051,V11,R,Y701,away_early,5y,5,early,away,NA,NA,NA,4.18,2.29,-1.89,,-0.45
B35,M2,Pink,CN_R051,V11,R,Y704,away_early,5y,5,early,away,NA,NA,NA,3.71,3.04,-0.67,,-0.18
B100,M2,Pink,CN_R051,V11,R,Y703,away_early,5y,5,early,away,NA,NA,NA,4.6,2.09,-2.51,-1.69,-0.55
B73,M2,Purple,CN_W071_58,V20,R,Y702,away_early,7y,7,early,away,NA,NA,NA,2.74,3.53,0.79,,0.29
B28,M2,Purple,CN_W071_58,V20,R,Y706,away_early,7y,7,early,away,NA,NA,NA,3.96,NA,NA,,
B40,M2,Purple,CN_W071_58,V20,R,Y703,away_early,7y,7,early,away,NA,NA,NA,3.32,1.36,-1.96,-0.585,-0.59
B20,M2,Blue,CN_R099_59,V32,R,Y707,away_early,7y,7,early,away,NA,NA,NA,4.7,6.03,1.33,,0.28
B38,M2,Blue,CN_R099_59,V32,R,Y701,away_early,7y,7,early,away,NA,NA,NA,4.2,5.4,1.2,,0.29
B58,M2,Blue,CN_R099_59,V32,R,Y705,away_early,7y,7,early,away,NA,NA,NA,6.21,7.41,1.2,1.243333333,0.19
B50,M2,Orange,CN_W072,V8,R,Y704,away_late,4y,4,late,away,NA,NA,NA,3.85,2.08,-1.77,,-0.46
B16,M2,Orange,CN_W072,V8,R,Y703,away_late,4y,4,late,away,NA,NA,NA,3.18,2.1,-1.08,-1.425,-0.34
